advanc advanced
revis revise
richard richard
română română
ron ron
routledg routledge
rowman rowman
ru ru
rutger rutgers
sa sa
sage sage
schaffer schaffer
scot scots
seattl seattle
seligmann seligmann
senn senn
sens sense
sh sh
shqip shqip
sidoni sidonie
simpl simple
skate skating
ski skiing
slovenčina slovenčina
smith smith
spectat spectators
sport sport sports
srpski srpski
srpskohrvatski srpskohrvatski
stage staging
steroid steroids
stori story
strategi strategies
structur structures
sudoc sudoc
summer summer
suomi suomi
susan susan
svenska svenska
tagalog tagalog
telecommun telecommunications
televis television
th th
tim tim
titl title
tiếng tiếng
tobi toby
transact transaction
transform transformation
turnaround turnaround
türkmenç türkmençe
türkçe türkçe
uk uk
unit united
univers university
url url
venu venues
vi vi
viaf viaf
vii vii
viii viii
viiie viiie
vision vision
việt việt
wallechinski wallechinsky
washington washington
wcf wcf
web web
websit website
westport westport
whannel whannel
wikimedia wikimedia
wikipedia wikipedia
winter winter
worldcat worldcat
xi xi
xii xii
xiii xiii
xiv xiv
xix xix
xv xv
xvi xvi
xvii xvii
xviii xviii
xx xx
xxi xxi
xxii xxii
xxiii xxiii
xxiv xxiv
xxv xxv
xxvi xxvi
xxvii xxvii
yesali yesalis
york york
yorùbá yorùbá
zazaki zazaki
íslenska íslenska
čeština čeština
ελληνικά ελληνικά
австрия австрии австрия
авторство авторства
айсшток айсшток
акро акро
акробатика акробатика
альбервилл альбервилле
альбервиль альбервиль
альберт альберт
альп альпы
альпинизм альпинизм
амман амман
ампеццо ампеццо
амстердам амстердам
ан ан
англ англ
англичанка англичанка
анджелес анджелес
анна анна
антверпен антверпен антверпене
арианна арианна
арльт арльт
архивировать архивировано
атлант атланта
афина афины
ахонен ахонен
балет балет
барселона барселона
башҡортса башҡортса
бе бе
беларуская беларуская
беларусь беларусь
бельмондо бельмондо
берлин берлин
биатлон биатлон биатлона
библиографический библиографических
биг биг
блан блан
боб бобы
бобслей бобслей бобслею
больший большая
большой большой наибольшим
брисбен брисбен
буксировка буксировка
български български
бьёрген бьёрген
бьёрн бьёрн
бьёрндален бьёрндален
бюргер бюргер
ванкувер ванкувер
вариант вариант
вендль вендль
версия версия
вид вид видам видов видом виды
викиданных викиданных
викимедиа викимедиа
викиновости викиновости
википедии википедии
википедия википедия
викисклад викисклад
викискладе викискладе
виктор виктор
вклад вклад
включить включены включить включён
внеочередной внеочередные
внешний внешние
вновь вновь
военный военный
возвращаться возвращаются
война война войны
войти войти
волшебный волшебные
впервые впервые
второй второй
выбор выборы
выиграть выиграла
выступать выступала
выступить выступил выступила
вэлли вэлли
вюст вюст
гайзенбергер гайзенбергер
гармиш гармиш
гдр гдр
генрих генрих
германий германия
гигантский гигантский
год год года годах году годы
гонка гонка гонки
горнолыжный горнолыжные горнолыжный
город город
гренобль гренобль
гры гры
дата дата
датский датская
двоеборье двоеборье
двухместные двухместные
де де
действовать действовать
декабрь декабря
демонстрационный демонстрационные демонстрационным
демонстрироваться демонстрировался
демченко демченко
денвер денвере
десять десяти
деть дели
дисциплина дисциплины
должен должны
долидович долидович
дополнение дополнение
дополнительный дополнительные
доступный доступен
егоров егорова
единственный единственный
жанейро жанейро
женский женский женских
женщина женщин женщины
заглавный заглавная
запись запись
зарегистрировать зарегистрированный
зачет зачет зачёт зачёте
заявление заявление
зи зи
зимний зимнее зимние зимним зимними зимних
знак знак
золотой золотые золотых
игра игр играм играми играх игры
идея идея
избранный избранные
известный известный
индивидуальный индивидуальная
инсбрук инсбрук
инструмент инструменты
интервал интервал
ирный ирен
использование использования
использовать использующие
история истории история
источник источник
италия италия
йоханнес йоханнес
йские йские
ка ка
калгари калгари
канада канада
карта карта
касай касай
каталанский каталанская
каталог каталогах
катание катание катании катанию
категория категории категория
керлинг кёрлинг кёрлинга
километр км
китай китай
китайский китайская
клаудия клаудия
клебо клебо
код код коды
кодекс кодекс
кол кол
количество количеством количеству
коломенкин коломенкин
команда команд команда
командный командная командное командные командный
комбинация комбинация
комитет комитета комитетом
комплексный комплексными
комплект комплекта комплектов
конек коньках
конкуренция конкуренции
конфиденциальность конфиденциальности
конькобежный конькобежный
корея корея
короткий короткий
кортина кортина
который которым
кросс кросс
кругосвет кругосвет
крупный крупнейшие
кук куки
кырык кырык
ларусса ларусса
лаять лая
лед льду
лейк лейк
летний летние летним летними летних
лидер лидеры
лидий лидия
лиллехаммер лиллехаммер
литература литература
лицензия лицензии
личной личные
личный личный
лондон лондон
лос лос
лошадь лошадью
луиса луис
лыжный лыжная лыжного лыжное лыжные лыжный
любовь любовь
македонский македонски
марита марит
мартена мартен
мары мары
масса масс
материал материал
медалист медалисты
медаль медалей медали
медальный медальный
медиафайлы медиафайлы
международный международная международного международные международным международными
мексика мексика
мельбурн мельбурн
менее менее
местный местные
место мест места
мехико мехико
милан милан
мировой мировая мировой
михо михо
мние мние
многократный многократных
мняя мняя
мобильный мобильная
могул могул
мокнуть мок
мона мон
монгол монгол
монобобы монобобы
монреаль монреаль
мориц мориц
москва москва
мочь могут
мужской мужских мужское мужской
мужчина мужчин мужчины
мэдж мэдж
мюнхен мюнхен
мяч мячом
навигация навигации навигация
нагано нагано
награда наград
название названия
называться называться
нарты нартах
наталя натали
начало начало
начать начали
начинать начиная
неделя неделе неделю неделя
некоммерческий некоммерческой
некоторые некоторые
немец немцы
немецкий немецкий
неофициальный неофициальном
несостоявшийся несостоявшиеся
нидерланды нидерланды
николай николай
новый новые
нок нок
норвегия норвегия
норвежский норвежская
нориаки нориаки
нормальный нормальный
нумероваться нумеруются
обращение обращения
обсуждение обсуждение
общекомандный общекомандном
общий общий
объединить объединённая
одиночный одиночное
однако однако
одноместные одноместные
ои ои
олимпи олимпи
олимпиа олимпиа
олимпиада олимпиад олимпиаду олимпиады
олимпийский олимпийские олимпийским олимпийскими олимпийских олимпийского олимпийскую
онлайн онлайн
опасаться опасаясь
описание описание
организатор организаторов организатором
организация организации
организовать организовать
оригинал оригинала
осло осло
основной основная
ответственность ответственности
отдельный отдельных
отказ отказ
отличие отличие
отменить отменены
отменяться отменяется
отредактировать отредактирована
официальный официальные
ошибка ошибке
пандемия пандемии
панин панин
пар пар
параллельный параллельный
париж париж
парной парное парном
партенкирхен партенкирхен
патронаж патронажем
патруль патруль
пекин пекин
первенство первенство
первое первые первым первыми
первоначально первоначально
первый первая первой первый
перейти перейти
перенести перенесены
период период периода
персональный персональные
пехштайн пехштайн
печать печати печать
плэсид плэсид
победитель победителей победителями
победить победившие победили
поведение поведения
подготовка подготовке
подробный подробнее
пожертвовать пожертвовать
поздний позднее
поиск поиск поиску
показываться показывались
политик политика
получить получить
помешать помешала
популярность популярность
портал портал
последний последний
постоянный постоянная
появиться появился
править править
правка правки
прародитель прародитель
предложить предложено предложил
предназначить предназначенными
предполагаться предполагалось
представить представлены
представиться представились
представляться представлялся
прекратить прекратила
преследование преследования
привести привела
призер призёров призёры
признаться признаются
примечание примечания
проблема проблем
проведение проведение проведению проведения
провести проведена проведённого провести
проводиться проводившиеся проводились проводиться проводятся проводящиеся
программа программу
продемонстрировать продемонстрирован продемонстрированы
проект проект проектах
прозвучать прозвучала
произвольный произвольном
просмотр просмотры
против против
проходить проходили проходят
прошедший прошедшая
прыжок прыжки
пхёнчхан пхёнчхан
пятиборье пятиборье
разговорный разговорные
раздельный раздельным
разработчик разработчики
разыграть разыграно
раиса раиса
ранний раньше
республика республика
ресурс ресурсы
рим рим
рио рио
роландроланд роландроланд
российский российская
россия россия
россиянин россиянин
русский русский
сайерс сайерс
сальхов сальхов
самый самый
сани сани
санкт санкт
санный санный
сантиметр см
саппоро саппоро
сараево сараево
сарасара сарасара
саха саха
сведение сведения
свежий свежие
свободный свободной
связанный связанные
связаться свяжитесь
сдвиг сдвигом
северный северные северным
седьмой седьмым
семь семи
сент сент
сергей сергей
сессия сессии
сеул сеул
сидень сидней
символ символы
симон симон
система системе
сити сити
скачать скачать
скво скво
скелетон скелетон
ски ски
скиатлон скиатлон
скобликова скобликова
скоростной скоростной
скорость скорость
скрытый скрытые
слалом слалом
следующий следующим следующих
словарь словари
слоупстайл слоупстайл
служебный служебные
случай случаю случаях
случайный случайная
сметанина сметанина
смешанный смешанная смешанное смешанный смешанных
сначала сначала
сноуборд сноуборд
собака собаками
событие события
современный современного
содержание содержание
создание создании
создать создать
солт солт
сообщество сообщество
сообщить сообщить
соревнование соревнований соревнования соревнованиями
состав составе
составить составил
состояние состоянию
состояться состоявшихся состояться
сохранение сохранением
сочить сочи
специальный специально специальную специальные специальным
список список
спорт спорт спорта
спортивный спортивная
спортсмен спортсмен спортсменов спортсмены
справка справка
спринт спринт
спуск спуск
среди среди
српски српски
српскохрватски српскохрватски
ссср ссср
ссылка ссылка ссылками ссылки
становиться становились становится
старт старт стартом
старый старая
статистика статистика
стать стал стала
статья статьи статья
стефаний стефания
стокгольм стокгольм стокгольме
страна страна страны
страница страница странице страницу страницы
су су
сумма сумме
супергигант супергигант
сша сша
сюда сюда
такаги такаги
также также
такэути такэути
танец танцы
тарашкевіца тарашкевіца
текст текст
текущий текущие
титуловать титулованный
тобиас тобиас
товарный товарный
токио токио
томокатомока томокатомока
тоҷикӣ тоҷикӣ
трамплин трамплин трамплина
трек трек
турин турин
турнир турниры
тыл тыла
указание указанием
указать указан
українська українська
ульрих ульрих
уля уле
условие условий условия
участие участие участий
участник участники
учетный учётную
февраль февраля
федерация федерация
фигура фигурам фигуры
фигурный фигурное фигурном фигурному
финансовый финансовых
финляндия финляндия
фишналлер фишналлер
фонд фонд
фонтан фонтана
форум форум
фр фр
франция франция
французский французские
фристайл фристайл
фуркад фуркад
хафпайп хафпайп
хельсинки хельсинки
хоккей хоккей хоккею
хюблер хюблер
хён хён
хёсфлот хёсфлот
цитировать цитировать
чаща чаще
чемпион чемпионов чемпионом
чемпионка чемпионкой
четырёхлетнего четырёхлетнего
читать читать
чӑвашла чӑвашла
шайба шайбой
шамони шамони
швед швед
швейцария швейцария
швеция швеция
шесть шести
шлепер шлепер
шорты шорт
эгида эгидой
эйнар эйнар
эйр эйр
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
эстафета эстафета
югославия югославия
язык язык языках
янна янне
япония япония
ўзбекча ўзбекча
қазақша қазақша
հայերեն հայերեն
עברית עברית
اردو اردو
العربية العربية
رونی رونی
فارسی فارسی
ماز ماز
مصرى مصرى
پښتو پښتو
کوردی کوردی
जप जप
मर मर
தம தம
ಕನ ಕನ
ನಡ ನಡ
ไทย ไทย
მარგალური მარგალური
ქართული ქართული
中文 中文
吴语 吴语
客家語 客家語
日本語 日本語
粵語 粵語
閩南語 閩南語
閩東語 閩東語
한국어 한국어
